School_name,Longitude,Latitude,Cluster
Hoxton Park High School,150.86162,-33.92,2
Airds High School,150.827109,-34.086883,1
James Meehan High School,150.892287,-33.988351,1
Moorebank High School,150.958685,-33.925772,2
Elderslie High School,150.715295,-34.052603,1
Leumeah High School,150.84737,-34.054339,1
Concord High School,151.109271,-33.864062,0
Fairfield High School,150.958647,-33.865214,2
Sarah Redfern High School,150.85088,-34.026782,2
Macquarie Fields High School,150.884901,-33.996784,0
Prairiewood High School,150.901709,-33.85948,2
Holsworthy High School,150.95232,-33.955528,1
Eagle Vale High School,150.803543,-34.039942,2
Ambarvale High School,150.801938,-34.099984,1
Robert Townson High School,150.817995,-34.01533,2
Bossley Park High School,150.875379,-33.870958,2
Elizabeth Macarthur High School,150.740091,-34.057072,0
Casula High School,150.8937,-33.95123,2
Katoomba High School,150.314399,-33.727402,0
Blacktown Girls High School,150.910792,-33.761976,0
Seven Hills High School,150.94487,-33.762705,1
Blacktown Boys High School,150.912543,-33.762057,0
Glenwood High School,150.937429,-33.733029,0
Rouse Hill High School,150.9317,-33.6864,0
Nepean Creative and Performing Arts High School,150.668882,-33.747745,1
Greystanes High School,150.940352,-33.812495,2
Doonside High School,150.874186,-33.754708,1
Mitchell High School,150.915971,-33.784795,2
Evans High School,150.889725,-33.786512,2
Kingswood High School,150.715263,-33.770416,1
Baulkham Hills High School,150.991499,-33.750227,0
Kellyville High School,150.969921,-33.707777,0
Girraween High School,150.944577,-33.79989,0
Crestwood High School,150.975672,-33.743607,0
Jamison High School,150.698118,-33.775335,1
Hawkesbury High School,150.798039,-33.559541,1
St Clair High School,150.786794,-33.794217,1
Macarthur Girls High School,151.012499,-33.813086,0
Arthur Phillip High School,151.007364,-33.816386,2
Parramatta High School,150.996083,-33.817883,0
Penrith High School,150.706537,-33.756721,0
Richmond High School,150.746715,-33.600535,1
Northmead Creative and Performing Arts High School,150.999661,-33.788092,0
Glenmore Park High School,150.672564,-33.791012,1
Pendle Hill High School,150.962194,-33.793877,2
Windsor High School,150.833554,-33.618653,1
The Hills Sports High School,150.938834,-33.782184,1
Colyton High School,150.797336,-33.777602,1
Springwood High School,150.550608,-33.685057,1
Model Farms High School,150.971394,-33.76943,0
Plumpton High School,150.835498,-33.748126,2
Cambridge Park High School,150.732892,-33.752164,1
Blaxland High School,150.60859,-33.754247,0
Colo High School,150.708204,-33.569359,1
Chifley College Bidwill Campus,150.827271,-33.733854,1
Winmalee High School,150.615138,-33.676047,0
Cranebrook High School,150.709812,-33.721662,1
Erskine Park High School,150.802962,-33.807899,1
Quakers Hill High School,150.89645,-33.729813,0
Cumberland High School,151.036898,-33.785205,0
Riverstone High School,150.875744,-33.678883,1
Rooty Hill High School,150.838148,-33.770841,2
James Ruse Agricultural High School,151.043204,-33.780624,0
Merriwa Central School,150.352867,-32.145113,1
Maitland Grossmann High School,151.591504,-32.743453,1
Kurri Kurri High School,151.486294,-32.810142,1
Hunter Sports High School,151.691142,-32.985494,1
Wadalba Community School,151.467432,-33.264769,1
Whitebridge High School,151.712234,-32.972025,1
Scone High School,150.873111,-32.05813,1
West Wallsend High School,151.581083,-32.910565,1
Francis Greenway High School,151.66077,-32.79698,1
Henry Kendall High School,151.334496,-33.420757,0
Dungog High School,151.750417,-32.396819,1
Gorokan High School,151.508233,-33.242182,1
Terrigal High School,151.429342,-33.442167,0
Mount View High School,151.333246,-32.827955,1
Kincumber High School,151.382516,-33.464894,1
Narara Valley High School,151.334064,-33.398422,1
Cardiff High School,151.670299,-32.951363,1
Toronto High School,151.582022,-33.008794,1
Cessnock High School,151.368528,-32.842954,1
Gosford High School,151.341388,-33.417183,0
Maitland High School,151.597333,-32.747365,1
Muswellbrook High School,150.897592,-32.268737,1
Wyong High School,151.417918,-33.281328,1
Singleton High School,151.177593,-32.569684,1
Belmont High School,151.660114,-33.027147,1
Lake Macquarie High School,151.613863,-32.975553,1
Hunter River High School,151.732798,-32.781835,1
Lake Munmorah High School,151.573699,-33.189743,1
Kariong Mountains High School,151.296076,-33.43039,1
Swansea High School,151.639823,-33.104232,1
Erina High School,151.381503,-33.440279,1
Morisset High School,151.486629,-33.104657,1
Kotara High School,151.706868,-32.947137,0
Warners Bay High School,151.653691,-32.967703,0
Tuggerah Lakes Secondary College The Entrance Campus,151.476613,-33.371256,1
Glendale Technology High School,151.642938,-32.925928,1
Lambton High School,151.722034,-32.917918,0
Tomaree High School,152.1122,-32.735884,1
Newcastle High School,151.758378,-32.931677,0
Merewether High School,151.734749,-32.929684,0
Northlakes High School,151.513395,-33.216762,1
Irrawang High School,151.766861,-32.761513,1
Rutherford Technology High School,151.531424,-32.711235,1
Hunter School of Performing Arts,151.727614,-32.924826,0
Evans River Community School,153.424683,-29.113492,1
Lord Howe Island Central School,159.069032,-31.530072,0
Bonalbo Central School,152.623959,-28.735472,1
Bowraville Central School,152.853898,-30.645289,1
Bulahdelah Central School,152.211848,-32.413374,1
Lisarow High School,151.370354,-33.385327,1
Coffs Harbour High School,153.135846,-30.305319,1
Murwillumbah High School,153.391648,-28.336032,1
Taree High School,152.46386,-31.909866,1
Casino High School,153.0437,-28.845167,1
Macksville High School,152.91701,-30.714945,1
"The Rivers Secondary College, Richmond River High Campus",153.296953,-28.820846,1
Bellingen High School,152.908442,-30.455123,1
Camden Haven High School,152.73608,-31.639394,1
Banora Point High School,153.525324,-28.215457,1
Gloucester High School,151.959556,-32.016661,1
Chatham High School,152.480875,-31.89577,3
Dorrigo High School,152.705492,-30.339222,1
"The Rivers Secondary College, Kadina High Campus",153.33864,-28.81788,1
Toormina High School,153.084399,-30.351016,1
Woolgoolga High School,153.190225,-30.100448,1
Woodenbong Central School,152.610148,-28.389728,3
Kingscliff High School,153.570474,-28.266568,1
Ashford Central School,151.094638,-29.321262,3
Nimbin Central School,153.220891,-28.595871,1
Emmaville Central School,151.601669,-29.446152,1
Grafton High School,152.932509,-29.682105,1
Kempsey High School,152.824202,-31.06806,3
