School_code,School_name,Postcode,School_subtype,ICSEA_value,LBOTE_pct,Indigenous_pct,FOEI_Value,LGA,SA4,AECG_region,Local_health_district,Latitude,Longitude,Cluster
8246,Heathcote High School,2233,Year 7 to Year 12,1019.0,7.0,3.0,87.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.082295,151.01441,1
8249,Matraville Sports High School,2036,Year 7 to Year 12,940.0,37.0,27.0,112.0,Randwick,Sydney - Eastern Suburbs,Metropolitan East,South Eastern Sydney,-33.964747,151.244548,1
8261,Cronulla High School,2230,Year 7 to Year 12,1048.0,17.0,3.0,65.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.038439,151.159056,0
8263,J J Cahill Memorial High School,2020,Year 7 to Year 12,979.0,64.0,6.0,109.0,Bayside (NSW),Sydney - City and Inner South,Metropolitan East,South Eastern Sydney,-33.927435,151.201835,2
8271,Lucas Heights Community School,2234,Kindergarten to Year 12,1033.0,18.0,4.0,76.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.035778,151.004817,0
8386,Gymea Technology High School,2227,Year 7 to Year 12,1046.0,26.0,4.0,70.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.029985,151.08338,0
8404,Endeavour Sports High School,2229,Year 7 to Year 12,1034.0,33.0,5.0,74.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.030083,151.117251,0
8432,Engadine High School,2233,Year 7 to Year 12,1045.0,9.0,3.0,72.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.062141,151.019341,0
8433,Woolooware High School,2230,Year 7 to Year 12,1056.0,19.0,1.0,67.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.039811,151.145595,0
8437,Kirrawee High School,2232,Year 7 to Year 12,1082.0,16.0,2.0,44.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.04348,151.073475,0
8463,Sylvania High School,2224,Year 7 to Year 12,1038.0,52.0,3.0,78.0,Sutherland,Sydney - Sutherland,Metropolitan East,South Eastern Sydney,-34.017367,151.103529,0
8504,Fort Street High School,2049,Year 7 to Year 12,1178.0,75.0,15.594132029339853,6.0,Inner West,Sydney - City and Inner South,Metropolitan East,Sydney,-33.890196,151.1529,0
8506,Tempe High School,2044,Year 7 to Year 12,1082.0,64.0,4.0,43.0,Inner West,Sydney - City and Inner South,Metropolitan East,Sydney,-33.91975,151.16094,0
8530,Newtown High School of Performing Arts,2042,Year 7 to Year 12,1131.0,28.0,2.0,10.0,Sydney,Sydney - City and Inner South,Metropolitan East,Sydney,-33.899534,151.178338,0
